"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/118";"FERRAIUOLO FOODS SRLS ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"195,52"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"961,26"
"14/126";"MAIORA SRL   ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"1031,05"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"145,75"
"14/125";"LA FUTURA SRL       ";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"27,91"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2021-03-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"157,24"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"888,09"
"14/121";"IPER MONTEBELLO SPA  ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"592,97"
"14/127";"GS SPA (IPERMERCATI)";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"411,16"
"14/128";"GS SPA (DIPERDI')";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,81"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"260,4"
"14/129";"STIVAL SA NV";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"441,21"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"91,28"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"623,55"
"14/107";"DIVINA FOOD AG    ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"91,52"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2362,47"
"14/143";"PASSIONE E PURA";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"34,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2753,31"
"14/126";"MAIORA SRL   ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2011,98"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"142,77"
"14/125";"LA FUTURA SRL       ";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"25,83"
"14/143";"APULIA DISTRIBUZIONE";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"87,73"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"387,67"
"14/142";"LA FOCACCERIA";"2020-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"60,44"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"888,09"
"14/121";"IPER MONTEBELLO SPA  ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"592,97"
"14/127";"GS SPA (IPERMERCATI)";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"411,16"
"14/128";"GS SPA (DIPERDI')";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,81"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"260,4"
"14/129";"STIVAL SA NV";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"441,21"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"91,28"
"14/118";"FERRAIUOLO FOODS SRLS ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"623,55"
"14/107";"DIVINA FOOD AG    ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"91,52"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2362,47"
"14/143";"PASSIONE E PURA";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"34,0"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2753,31"
"14/126";"MAIORA SRL   ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"2011,98"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"142,77"
"14/125";"LA FUTURA SRL       ";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"25,83"
"14/143";"APULIA DISTRIBUZIONE";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"87,73"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"387,67"
"14/142";"LA FOCACCERIA";"2021-06-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"60,44"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2020-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"413,01"
"14/129";"STIVAL SA NV";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"90,87"
"14/94";"STORICA FATTORIA PALAGIACCIO S.S.A ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"139,88"
"14/118";"FERRAIUOLO FOODS SRLS ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"302,4"
"14/107";"DIVINA FOOD AG    ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"52,8"
"14/24";"STABLE TRADING LIMITED ITALIAN FINE FOOD UNIT A.18/F SUN YING ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/143";"PASSIONE E PURA";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"43,47"
"14/131";"ALDI SRL COD.09717   SOC.CON SOCIO UNICO         ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"86,8"
"14/126";"MAIORA SRL   ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"820,06"
"14/117";"INIZIATIVE ALIMENTARI SRL     ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"125,19"
"14/125";"LA FUTURA SRL       ";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"24,69"
"14/143";"APULIA DISTRIBUZIONE";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/87";"METRO ITALIA CASH AND CARRY spa";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"426,47"
"14/142";"LA FOCACCERIA";"2021-09-30";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"28,17"
"14/92";"GS SPA (Carrefour Terre Italia)";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"0,0"
"14/62";"RIALTO SPA SOCIETA' A SOCIO UNICO     ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"301,52"
"14/121";"IPER MONTEBELLO SPA  ";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"381,77"
"14/127";"GS SPA (IPERMERCATI)";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"475,46"
"14/128";"GS SPA (DIPERDI')";"2020-12-31";"PROVV. PROCACC. AFFARI (SU FATTURATO NETTO)";"66,74"
